n,date,stage,home,away,score_90,result,et,model_commit,commit_utc,p_h,p_d,p_a,pred_score,pick,pick_correct,exact_score,brier,logloss,p_result,frozen_brier,frozen_pick_correct,frozen_exact,brier_uniform,brier_baserate
31,2026-06-20,group,Brazil,Haiti,3-0,H,0,8b9b87ba,2026-06-18 12:17,0.873,0.091,0.036,3-0,H,1,1,0.0257,0.1358,0.873,0.0886,1,0,0.6667,0.4967
32,2026-06-20,group,Türkiye,Paraguay,0-1,A,0,8b9b87ba,2026-06-18 12:17,0.589,0.273,0.138,1-0,H,0,0,1.1645,1.9805,0.138,0.9321,0,0,0.6667,0.653
33,2026-06-20,group,Netherlands,Sweden,5-1,H,0,8b9b87ba,2026-06-18 12:17,0.617,0.224,0.159,1-1,H,1,0,0.2221,0.4829,0.617,0.2301,1,0,0.6667,0.4967
34,2026-06-20,group,Germany,Côte d'Ivoire,2-1,H,0,8b9b87ba,2026-06-18 12:17,0.791,0.136,0.073,3-0,H,1,0,0.0675,0.2345,0.791,0.3034,1,0,0.6667,0.4967
35,2026-06-21,group,Ecuador,Curaçao,0-0,D,0,4c9ec066,2026-06-20 12:40,0.912,0.07,0.018,3-0,H,0,0,1.697,2.6593,0.07,1.1539,0,0,0.6667,0.9186
36,2026-06-21,group,Tunisia,Japan,0-4,A,0,4c9ec066,2026-06-20 12:40,0.051,0.183,0.766,0-2,A,1,0,0.0908,0.2666,0.766,0.3824,1,0,0.6667,0.653
37,2026-06-21,group,Belgium,Iran,0-0,D,0,4c9ec066,2026-06-20 12:40,0.633,0.205,0.162,2-1,H,0,0,1.059,1.5847,0.205,0.7775,0,0,0.6667,0.9186
38,2026-06-21,group,Uruguay,Cabo Verde,2-2,D,0,4c9ec066,2026-06-20 12:40,0.811,0.148,0.041,2-0,H,0,0,1.3853,1.9105,0.148,1.0914,0,0,0.6667,0.9186
39,2026-06-21,group,Spain,Saudi Arabia,4-0,H,0,4c9ec066,2026-06-20 12:40,0.897,0.079,0.024,3-0,H,1,0,0.0174,0.1087,0.897,0.0566,1,0,0.6667,0.4967
40,2026-06-22,group,New Zealand,Egypt,1-3,A,0,341e2741,2026-06-21 17:03,0.062,0.162,0.777,0-2,A,1,0,0.0798,0.2523,0.777,0.1773,1,0,0.6667,0.653
41,2026-06-22,group,Argentina,Austria,2-0,H,0,341e2741,2026-06-21 17:03,0.535,0.299,0.165,1-0,H,1,0,0.3329,0.6255,0.535,0.4776,1,0,0.6667,0.4967
42,2026-06-22,group,France,Iraq,3-0,H,0,341e2741,2026-06-21 17:03,0.763,0.163,0.074,2-0,H,1,0,0.0882,0.2705,0.763,0.1763,1,0,0.6667,0.4967
43,2026-06-23,group,Norway,Senegal,3-2,H,0,69776549,2026-06-22 07:48,0.556,0.26,0.184,1-1,H,1,0,0.2986,0.587,0.556,0.5725,1,0,0.6667,0.4967
44,2026-06-23,group,Jordan,Algeria,1-2,A,0,69776549,2026-06-22 07:48,0.146,0.243,0.61,0-2,A,1,0,0.2325,0.4943,0.61,0.2094,1,0,0.6667,0.653
45,2026-06-23,group,Portugal,Uzbekistan,5-0,H,0,69776549,2026-06-22 07:48,0.561,0.262,0.177,1-1,H,1,0,0.2927,0.578,0.561,0.2205,1,0,0.6667,0.4967
46,2026-06-23,group,England,Ghana,0-0,D,0,69776549,2026-06-22 07:48,0.812,0.146,0.043,2-0,H,0,0,1.3905,1.9241,0.146,1.1206,0,0,0.6667,0.9186
47,2026-06-23,group,Panama,Croatia,0-1,A,0,69776549,2026-06-22 07:48,0.175,0.203,0.622,1-2,A,1,0,0.2147,0.4748,0.622,0.254,1,1,0.6667,0.653
48,2026-06-24,group,Colombia,DR Congo,1-0,H,0,0327100a,2026-06-23 11:04,0.428,0.336,0.237,0-0,H,1,0,0.4962,0.8486,0.428,0.4456,1,1,0.6667,0.4967
49,2026-06-24,group,Bosnia & Herzegovina,Qatar,3-1,H,0,0327100a,2026-06-23 11:04,0.546,0.305,0.149,1-0,H,1,0,0.3213,0.6051,0.546,0.6221,1,0,0.6667,0.4967
50,2026-06-24,group,Switzerland,Canada,2-1,H,0,0327100a,2026-06-23 11:04,0.419,0.295,0.286,1-1,H,1,0,0.5064,0.8699,0.419,0.3396,1,0,0.6667,0.4967
51,2026-06-24,group,Morocco,Haiti,4-2,H,0,0327100a,2026-06-23 11:04,0.858,0.115,0.027,2-0,H,1,0,0.0341,0.1532,0.858,0.1187,1,0,0.6667,0.4967
52,2026-06-24,group,Scotland,Brazil,0-3,A,0,0327100a,2026-06-23 11:04,0.175,0.241,0.584,1-1,A,1,0,0.2618,0.5379,0.584,0.3196,1,0,0.6667,0.653
53,2026-06-25,group,South Africa,South Korea,1-0,H,0,67109acd,2026-06-24 14:02,0.12,0.273,0.606,0-1,A,0,0,1.2162,2.1203,0.12,0.9415,0,0,0.6667,0.4967
54,2026-06-25,group,Czechia,Mexico,0-3,A,0,67109acd,2026-06-24 14:02,0.111,0.243,0.647,0-1,A,1,0,0.196,0.4354,0.647,0.3838,1,0,0.6667,0.653
55,2026-06-25,group,Curaçao,Côte d'Ivoire,0-2,A,0,67109acd,2026-06-24 14:02,0.021,0.062,0.918,0-3,A,1,0,0.011,0.0856,0.918,0.1466,1,1,0.6667,0.653
56,2026-06-25,group,Ecuador,Germany,2-1,H,0,67109acd,2026-06-24 14:02,0.14,0.245,0.616,0-2,A,0,0,1.1791,1.9661,0.14,0.9558,0,0,0.6667,0.4967
57,2026-06-25,group,Japan,Sweden,1-1,D,0,67109acd,2026-06-24 14:02,0.634,0.24,0.126,2-0,H,0,0,0.9954,1.4271,0.24,0.8793,0,0,0.6667,0.9186
58,2026-06-25,group,Tunisia,Netherlands,1-3,A,0,67109acd,2026-06-24 14:02,0.018,0.074,0.909,0-3,A,1,0,0.0141,0.0954,0.909,0.3096,1,0,0.6667,0.653
59,2026-06-26,group,Paraguay,Australia,0-0,D,0,fe78b6de,2026-06-25 21:46,0.205,0.388,0.407,0-0,A,0,1,0.5822,0.9467,0.388,0.7241,0,0,0.6667,0.9186
60,2026-06-26,group,Türkiye,USA,3-2,H,0,fe78b6de,2026-06-25 21:46,0.292,0.369,0.34,1-1,D,0,0,0.753,1.231,0.292,0.56,1,0,0.6667,0.4967
61,2026-06-26,group,Senegal,Iraq,5-0,H,0,fe78b6de,2026-06-25 21:46,0.579,0.295,0.126,1-0,H,1,0,0.2801,0.5465,0.579,0.2713,1,0,0.6667,0.4967
62,2026-06-26,group,Norway,France,1-4,A,0,fe78b6de,2026-06-25 21:46,0.378,0.27,0.353,1-1,H,0,0,0.6344,1.0413,0.353,0.5222,1,0,0.6667,0.653
63,2026-06-27,group,Cabo Verde,Saudi Arabia,0-0,D,0,0ddbdb85,2026-06-26 16:01,0.306,0.413,0.282,1-1,D,1,0,0.5177,0.8843,0.413,0.7966,0,0,0.6667,0.9186
64,2026-06-27,group,Uruguay,Spain,0-1,A,0,0ddbdb85,2026-06-26 16:01,0.149,0.431,0.42,0-1,D,0,1,0.5444,0.8675,0.42,0.2778,1,1,0.6667,0.653
65,2026-06-27,group,New Zealand,Belgium,1-5,A,0,0ddbdb85,2026-06-26 16:01,0.047,0.235,0.719,0-2,A,1,0,0.1364,0.3299,0.719,0.0403,1,0,0.6667,0.653
66,2026-06-27,group,Egypt,Iran,1-1,D,0,0ddbdb85,2026-06-26 16:01,0.303,0.421,0.276,1-1,D,1,1,0.5032,0.8651,0.421,0.6732,0,0,0.6667,0.9186
67,2026-06-27,group,Croatia,Ghana,2-1,H,0,0ddbdb85,2026-06-26 16:01,0.281,0.441,0.278,1-1,D,0,0,0.7887,1.2694,0.281,0.3734,1,0,0.6667,0.4967
68,2026-06-27,group,Panama,England,0-2,A,0,0ddbdb85,2026-06-26 16:01,0.034,0.244,0.721,0-2,A,1,1,0.1385,0.3271,0.721,0.0796,1,1,0.6667,0.653
69,2026-06-27,group,DR Congo,Uzbekistan,3-1,H,0,0ddbdb85,2026-06-26 16:01,0.401,0.47,0.129,0-0,D,0,0,0.5963,0.9138,0.401,0.5523,1,0,0.6667,0.4967
70,2026-06-27,group,Colombia,Portugal,0-0,D,0,0ddbdb85,2026-06-26 16:01,0.306,0.351,0.344,1-1,D,1,0,0.6332,1.047,0.351,0.7605,0,0,0.6667,0.9186
71,2026-06-28,group,Algeria,Austria,3-3,D,0,bcf8987b,2026-06-27 05:43,0.221,0.47,0.309,0-0,D,1,0,0.4252,0.755,0.47,0.6083,1,0,0.6667,0.9186
72,2026-06-28,group,Jordan,Argentina,1-3,A,0,bcf8987b,2026-06-27 05:43,0.013,0.177,0.809,0-3,A,1,0,0.068,0.212,0.809,0.0529,1,0,0.6667,0.653
73,2026-06-28,knockout,South Africa,Canada,0-1,A,0,bcf8987b,2026-06-27 05:43,0.117,0.399,0.484,0-1,A,1,1,0.4391,0.7257,0.484,0.5056,1,0,0.6667,0.653
74,2026-06-29,knockout,Brazil,Japan,2-1,H,0,53b9554c,2026-06-28 10:11,0.272,0.449,0.279,0-0,D,0,0,0.8094,1.302,0.272,0.6044,1,0,0.6667,0.4967
75,2026-06-29,knockout,Germany,Paraguay,1-1,D,1,53b9554c,2026-06-28 10:11,0.556,0.381,0.063,2-0,H,0,0,0.6963,0.965,0.381,0.9703,0,0,0.6667,0.9186
76,2026-06-30,knockout,Netherlands,Morocco,1-1,D,1,5d8603de,2026-06-29 01:50,0.264,0.422,0.314,1-1,D,1,1,0.5024,0.8627,0.422,0.6289,0,0,0.6667,0.9186
